State,City,Year,Summary,Victims,lat,lon,Name
Florida,Parkland,2018,"Nikolas J. Cruz, 19, heavily armed with an AR-15, tactical gear, and “countless magazines” of ammo, according to the Broward County Sheriff, attacked the high school as classes were ending for the day, killing at least 17 people and injuring many others. He was apprehended by authorities shortly after fleeing the campus.",17,26.3100794,-80.23727,Nikolas Cruz
Oregon,Roseburg,2015, 26-year-old Chris Harper Mercer opened fire at Umpqua Community College in southwest Oregon. The gunman shot himself to death after being wounded in a shootout with police.,18,43.289538,-123.333193,Chris Harper
Washington,Marysville,2014,"Jaylen Fryberg, 15, using a .40-caliber Berretta, shot five
students at Marysville High School, including two of his cousins and three friends, killing all but one. Fryberg arranged to meet them for lunch in the school cafeteria by text. Fryberg was reportedly well-liked at the school and there was not believed to be any ill-will between him and his victims. He committed suicide at the scene.",6,48.050824,-122.176918,Jaylen Fryberg
California,Santa Barbara,2014,"Elliot Rodger, 22, shot three people to death in the college town of Isla Vista near the University of California, Santa Barbara. He also shot others as he drove around town, and injured others by striking them with is vehicle. He committed suicide by shooting himself in his car as police closed in. Prior to the rampage, Rodger stabbed three people to death at his apartment.",19,34.436283,-119.8714406,Elliot Rodger
Connecticut,Newtown,2012,"Adam Lanza, 20, shot his mother dead at their home then drove to Sandy Hook Elementary school. He forced his way inside and opened fire, killing 20 children and six adults before committing suicide.",29,41.4123225,-73.31142358,Adam Lanza
California,Oakland,2012,"One L. Goh, 43, a former student, opened fire in a nursing classroom. He fled the scene by car and was arrested nearby a few hours later.",10,37.8043808,-122.2708166,One L. Goh
Illinois,DeKalb,2008,"Steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived.",26,41.9294736,-88.7503647,Steven Kazmierczak
Virginia,Blacksburg,2007,"Virginia Tech student Seung-Hui Cho, 23, opened fire on his school's campus before committing suicide.",55,37.2295733,-80.4139393,Seung-Hui Cho
Pennsylvania,Lancaster County,2006,"Charles Carl Roberts, 32, shot 10 young girls in a one-room schoolhouse in Bart Township, killing 5, before taking his own life.",11,39.9589,-76.0806,Charles Carl Roberts
Minnesota,Red Lake,2005,"Jeffrey Weise, 16, murdered his grandfather, who was a police officer, and grandfather's girlfriend. Weise then drove his grandfather's squad car to Red Lake Senior High School and opened fire on the reservation campus, killing another seven people before committing suicide.",15,47.876346,-95.0169401,Jefrey Weise
Colorado,Littleton,1999,"Eric Harris, 18, and Dylan Klebold, 17, opened fire throughout Columbine High School before committing suicide.",37,39.604034,-105.074103,Eric Harris
Oregon,Springfield,1998,"After he was expelled for having a gun in his locker, Kipland P. Kinkel, 15, a freshman at Thurston High, went on a shooting spree, killing his parents at home and two students at school. Five classmates wrestled Kipland to the ground before he was arrested.   ",29,44.0462362,-123.0220289,Kipland P. Kinkel
Arkansas,Jonesboro,1998,"Mitchell Scott Johnson, 13, and Andrew Douglas Golden, 11, two juveniles, ambushed students and teachers as they left the school; they were apprehended by police at the scene.",15,35.8209895,-90.6682606,Mitchell Scott Johnson
California,Olivehurst,1992,"Former Lindhurst High School student Eric Houston, 20, angry about various personal failings, killed three students and a teacher at the school before surrendering to police after an eight-hour standoff. He was later sentenced to death.",14,39.07868761,-121.5475762,Eric Houston
Iowa,Iowa City,1991,"Former graduate student Gang Lu, 28, went on a rampage on campus and then committed suicide at the scene.",7,41.6606893,-91.5302214,Gang Lu
California,Stockton,1989,"Patrick Purdy, 26, an alcoholic with a police record, launched an assault at Cleveland Elementary School, where many young Southeast Asian immigrants were enrolled. Purdy killed himself with a shot to the head.",35,37.9577016,-121.2907796,Patrick Purdy