state,shootings,,,
AL,2363,,,
AK,469,,,
AZ,4696,,,
AR,2178,,,
CA,26455,,,
CO,2118,,,
CT,1348,,,
DE,585,,,
GA,6776,,,
HI,243,,,
ID,863,,,
IL,6382,,,
IN,3629,,,
IA,726,,,
KS,1396,,,
KY,2724,,,
LA,5691,,,
ME,711,,,
MD,5509,,,
MA,2531,,,
MI,7420,,,
MN,1380,,,
MS,2370,,,
MO,4901,,,
MY,307,,,
NE,634,,,
NV,2081,,,
NH,489,,,
NJ,4726,,,
NM,2186,,,
NY,9584,,,
NV,6149,,,
ND,633,,,
OH,6006,,,
OK,2535,,,
OR,1624,,,
PA,8010,,,
RI,611,,,
SC,3899,,,
SD,654,,,
TN,6018,,,
TX,15462,,,
UT,616,,,
VT,478,,,
VA,4691,,,
WA,2253,,,
WV,907,,,
WI,2084,,,
WY,181,,,