Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2004,247,37,409,152,2391,199,86,14,528,31,30,448,299,40,75,217,557,17,520,167,638,110,175,353,23,27,172,13,391,150,864,477,8,464,186,90,632,26,287,16,350,1362,21,16,390,189,62,154,11
2005,326,32,440,176,2503,170,91,37,516,20,34,448,331,38,95,177,399,19,551,171,614,115,163,401,17,13,205,16,417,133,868,566,7,549,187,79,734,34,312,14,428,1406,56,8,459,205,72,194,14
2006,349,35,462,201,2485,156,100,41,548,21,36,487,339,54,126,150,488,23,546,185,711,117,173,334,17,16,224,12,428,99,921,530,8,487,207,85,719,28,359,8,409,1381,46,12,398,186,71,163,9
2007,385,43,464,191,2249,150,95,37,674,12,49,463,333,36,104,196,577,21,553,182,672,107,152,351,14,22,192,11,380,148,800,555,12,486,222,72,719,19,349,15,397,1419,58,12,406,170,59,182,16
2008,338,27,405,157,2142,151,112,57,614,25,23,530,306,74,110,182,390,31,493,164,536,106,184,455,23,22,163,12,376,134,835,586,3,460,212,82,700,29,304,22,408,1372,41,17,366,190,55,146,10
2009,318,22,328,171,1972,167,107,41,21,22,479,293,34,118,170,486,26,438,169,625,72,151,381,28,40,156,10,319,144,779,480,9,502,225,83,658,31,286,11,461,1325,37,7,347,169,76,144,11,21
2010,199,31,352,130,1811,117,131,48,527,24,21,453,198,38,100,180,437,24,424,209,558,91,165,419,21,51,158,13,363,118,860,445,9,460,188,78,646,29,280,14,356,1246,52,7,369,151,55,151,8
2011,190,29,339,153,1790,147,128,41,522,7,32,452,284,44,110,150,485,25,398,183,613,70,187,364,18,65,129,16,379,121,774,489,12,488,204,77,636,14,319,15,373,1089,51,8,303,161,74,135,15
2012,2,29,321,166,1879,160,146,57,541,13,26,509,275,44,84,192,455,25,365,121,682,89,174,389,22,52,116,14,385,109,682,470,16,410,212,81,684,34,324,14,387,1141,49,8,314,194,66,169,14
2013,2,34,304,154,1745,174,86,39,534,9,26,433,311,42,112,165,453,24,379,135,625,110,142,371,15,57,157,21,401,106,648,452,11,434,191,78,594,31,296,12,327,1133,49,9,315,155,54,157,15
2014,1,41,258,154,1697,149,83,54,540,5,30,428,299,55,89,160,407,21,309,131,531,82,161,402,27,51,169,12,337,96,613,469,14,436,167,73,609,25,301,15,370,1141,61,10,337,172,62,158,13
2015,3,57,278,164,1861,176,107,63,565,19,30,497,272,72,125,209,474,23,372,126,571,133,159,499,36,61,177,14,353,94,611,506,17,480,233,71,651,27,394,27,402,1276,54,10,383,209,57,238,16
2016,3,52,336,209,1930,202,76,56,646,35,47,941,348,71,96,260,543,20,430,132,597,99,154,535,34,41,209,16,372,99,628,595,14,627,243,100,655,29,363,21,486,1459,71,14,482,195,76,226,19