state,shootings 
Alabama,2363
Alaska,469
Arizona,4696
Arkansas,2178
California,26455
Colorado,2118
Connecticut,1348
Delaware,585
Georgia,6776
Hawaii,243
Idaho,863
Illinois,6382
Indiana,3629
Iowa,726
Kansas,1396
Kentucky,2724
Louisiana,5691
Maine,711
Maryland,5509
Massachusetts,2531
Michigan,7420
Minnesota,1380
Mississippi,2370
Missouri,4901
Montana,307
Nebraska,634
Nevada,2081
New Hampshire,489
New Jersey,4726
New Mexico,2186
New York,9584
North Carolina,6149
North Dakota,633
Ohio,6006
Oklahoma,2535
Oregon,1624
Pennsylvania,8010
Rhode Island,611
South Carolina,3899
South Dakota,654
Tennessee,6018
Texas,15462
Utah,616
Vermont,478
Virginia,4691
Washington,2253
West Virginia,907
Wisconsin,2084
Wyoming,181